job_title,years_of_experience,location,education_level,company_size,skills,salary_usd
AI Research Scientist,9,China,Bachelor,Medium,"Tableau, PyTorch, Kubernetes, Linux, NLP",90376
AI Software Engineer,1,Canada,Master,Medium,"Deep Learning, AWS, Mathematics, Python, Docker",61895
AI Specialist,2,Switzerland,Associate,Large,"Kubernetes, Deep Learning, Java, Hadoop, NLP",152626
NLP Engineer,7,India,PhD,Medium,"Scala, SQL, Linux, Python",80215
AI Consultant,0,France,Master,Small,"MLOps, Java, Tableau, Python",63910.08
AI Architect,7,Germany,Associate,Medium,"Data Visualization, R, SQL, Linux",144581.58
Principal Data Scientist,3,United Kingdom,Associate,Small,"R, Docker, MLOps",107554.5
NLP Engineer,0,France,Master,Large,"Python, SQL, Computer Vision, Java, Azure",82648.8
Data Analyst,7,Singapore,PhD,Large,"Hadoop, Git, Mathematics, Python",160710
AI Software Engineer,5,Austria,Master,Medium,"MLOps, GCP, Scala, Azure, Linux",102557
Autonomous Systems Engineer,8,Sweden,Associate,Medium,"MLOps, Python, SQL",102322
AI Architect,15,South Korea,Master,Small,"R, Data Visualization, Python, Azure",115047
AI Consultant,5,France,PhD,Medium,"Tableau, Python, TensorFlow",145495.35
Autonomous Systems Engineer,0,Norway,Master,Small,"Scala, SQL, Statistics",68760
AI Research Scientist,6,Sweden,Associate,Medium,"PyTorch, Python, Data Visualization, GCP",150122
AI Product Manager,0,United Kingdom,PhD,Large,"Linux, Statistics, Deep Learning",106442.1
Principal Data Scientist,1,India,Bachelor,Large,"Tableau, NLP, Spark",59823
Machine Learning Engineer,15,France,Associate,Large,"MLOps, PyTorch, Azure",211932.63
Data Engineer,9,Singapore,Associate,Medium,"Git, Hadoop, R, Python, Spark",155300
Research Scientist,4,Netherlands,PhD,Large,"Java, Scala, NLP, Docker, Computer Vision",109805.67
Data Engineer,3,Norway,Bachelor,Medium,"Deep Learning, AWS, Azure",134197
Autonomous Systems Engineer,2,United States,Bachelor,Medium,"Tableau, Spark, NLP, TensorFlow, PyTorch",102550
ML Ops Engineer,7,Germany,PhD,Small,"Hadoop, Git, Tableau",116276.94
AI Product Manager,4,Austria,Master,Medium,"Git, Hadoop, Docker",52167
ML Ops Engineer,2,China,Bachelor,Small,"AWS, Azure, Git, SQL, Computer Vision",53923
Robotics Engineer,6,Israel,PhD,Large,"Linux, Git, Tableau, Kubernetes, Data Visualization",109779
ML Ops Engineer,2,Australia,Master,Small,"Hadoop, Linux, Git, Scala",80979
Data Analyst,2,Austria,PhD,Medium,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",52997
Head of AI,0,Ireland,PhD,Medium,"Python, Scala, NLP, Mathematics, Git",42819
ML Ops Engineer,2,Israel,Master,Large,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",82083
Head of AI,1,Netherlands,Master,Medium,"Deep Learning, GCP, AWS, Linux, Tableau",78960.96
Research Scientist,1,Denmark,Master,Medium,"Azure, Python, Spark",68624
Robotics Engineer,7,Switzerland,PhD,Small,"NLP, Scala, Python",146852
ML Ops Engineer,16,Finland,Associate,Medium,"Tableau, Azure, GCP, Linux, Python",178183
Deep Learning Engineer,8,Sweden,PhD,Large,"R, GCP, MLOps, Linux",150864
Head of AI,10,Finland,Associate,Large,"Git, Hadoop, Data Visualization",126942
AI Architect,2,Japan,Associate,Medium,"Data Visualization, Tableau, AWS, Mathematics, Python",53752
